"","id","round","trial","action","potato"
"802",2,4,2,"up",0
"803",2,4,3,"right",0
"804",2,4,4,"right",0
"805",2,4,5,"right",0
"806",2,4,6,"right",0
"807",2,4,7,"right",0
"808",2,4,8,"right",0
"809",2,4,9,"right",0
"810",2,4,10,"right",0
"811",2,4,11,"right",0
"812",2,4,12,"right",0
"813",2,4,13,"right",0
"814",2,4,14,"up",0
"815",2,4,15,"right",0
"816",2,4,16,"up",0
"817",2,4,17,"right",1
"818",2,4,18,"up",0
"819",2,4,19,"right",0
"820",2,4,20,"left",0
"821",2,4,21,"down",0
"822",2,4,22,"down",0
"823",2,4,23,"up",0
"824",2,4,24,"right",0
"825",2,4,25,"right",0
"826",2,4,26,"up",0
"827",2,4,27,"up",0
"828",2,4,28,"down",0
"829",2,4,29,"down",0
"830",2,4,30,"right",0
"831",2,4,31,"right",0
"832",2,4,32,"left",0
"833",2,4,33,"up",1
"834",2,4,34,"up",0
"835",2,4,35,"up",0
"836",2,4,36,"up",0
"837",2,4,37,"up",0
"838",2,4,38,"up",1
"839",2,4,39,"up",0
"840",2,4,40,"down",0
"841",2,4,41,"right",0
"842",2,4,42,"right",0
"843",2,4,43,"right",0
"844",2,4,44,"right",1
"845",2,4,45,"right",1
"846",2,4,46,"right",0
"847",2,4,47,"right",0
"848",2,4,48,"right",1
"849",2,4,49,"left",0
"850",2,4,50,"left",0
"851",2,4,51,"left",0
"852",2,4,52,"up",1
"853",2,4,53,"up",0
"854",2,4,54,"up",1
"855",2,4,55,"left",0
"856",2,4,56,"right",0
"857",2,4,57,"up",0
"858",2,4,58,"up",0
"859",2,4,59,"up",0
"860",2,4,60,"up",1
"861",2,4,61,"left",1
"862",2,4,62,"up",1
"863",2,4,63,"up",0
"864",2,4,64,"up",0
"865",2,4,65,"left",0
"866",2,4,66,"right",0
"867",2,4,67,"down",0
"868",2,4,68,"left",0
"869",2,4,69,"right",0
"870",2,4,70,"up",0
"871",2,4,71,"up",1
"872",2,4,72,"up",1
"873",2,4,73,"up",1
"874",2,4,74,"up",0
"875",2,4,75,"up",0
"876",2,4,76,"down",0
"877",2,4,77,"down",0
"878",2,4,78,"right",0
"879",2,4,79,"down",0
"880",2,4,80,"down",0
"881",2,4,81,"up",0
"882",2,4,82,"up",0
"883",2,4,83,"left",0
"884",2,4,84,"up",0
"885",2,4,85,"up",0
"886",2,4,86,"up",0
"887",2,4,87,"up",0
"888",2,4,88,"up",0
"889",2,4,89,"up",0
"890",2,4,90,"up",0
"891",2,4,91,"left",0
"892",2,4,92,"right",0
"893",2,4,93,"right",0
"894",2,4,94,"right",0
"895",2,4,95,"right",0
"896",2,4,96,"right",0
"897",2,4,97,"up",1
"898",2,4,98,"up",0
"899",2,4,99,"up",0
"900",2,4,100,"up",0
"901",2,5,1,"up",0
"902",2,5,2,"up",0
"903",2,5,3,"right",0
"904",2,5,4,"right",1
"905",2,5,5,"right",0
"906",2,5,6,"left",0
"907",2,5,7,"down",1
"908",2,5,8,"down",1
"909",2,5,9,"down",0
"910",2,5,10,"up",0
"911",2,5,11,"right",0
"912",2,5,12,"right",0
"913",2,5,13,"right",0
"914",2,5,14,"right",0
"915",2,5,15,"right",0
"916",2,5,16,"up",0
"917",2,5,17,"up",1
"918",2,5,18,"up",0
"919",2,5,19,"right",0
"920",2,5,20,"right",0
"921",2,5,21,"right",0
"922",2,5,22,"up",1
"923",2,5,23,"right",1
"924",2,5,24,"right",0
"925",2,5,25,"left",0
"926",2,5,26,"up",1
"927",2,5,27,"up",0
"928",2,5,28,"left",0
"929",2,5,29,"up",0
"930",2,5,30,"right",1
"931",2,5,31,"up",0
"932",2,5,32,"up",1
"933",2,5,33,"up",0
"934",2,5,34,"up",1
"935",2,5,35,"up",0
